epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_auc
1,0.8442609567985667,0.5084919173316963,1.6938176564750125,0.4092896174863388,0.43330904960785877,0.9455508366464217
2,0.7487598572882516,0.5481208648796125,1.5936042453014785,0.4390710382513661,0.4530677435003499,0.9495371311716712
3,0.6858331867771351,0.5627515176318123,1.519442212198927,0.4521857923497268,0.46878211895143795,0.9519018646237505
4,0.6559195555327298,0.5787804378964599,1.5028438781047129,0.46584699453551914,0.48770126497457594,0.9534508944593043
5,0.6177681714822826,0.5980492462997067,1.450676696434047,0.4830601092896175,0.49117019778300997,0.9527196230380436
6,0.5707465040757739,0.6167041811609031,1.417039245411835,0.5010928961748634,0.5103105858690632,0.9546889196641252
7,0.5513367155435571,0.6229793329240843,1.294583245908302,0.5295081967213114,0.5285476463417741,0.9577193609239211
8,0.5110697543407217,0.638053338789987,1.2880756098471704,0.5314207650273224,0.5306449356299344,0.9584365074712553
9,0.49150349990414627,0.6520019098287975,1.3218421480145122,0.5368852459016393,0.5438791760169496,0.9562226350283014
10,0.4809935616890736,0.6609030761885274,1.3301585735030512,0.5265027322404372,0.5371342570329124,0.9583424346879909
11,0.46822327789688867,0.6582429575063092,1.219251457050117,0.5486338797814208,0.5635460433650945,0.9615344483215603
12,0.44967051017789333,0.6747493349703294,1.2011941166950868,0.5543715846994536,0.5609248260088792,0.9611902597091291
13,0.4301837873519032,0.6802741968487824,1.162049597733822,0.5699453551912569,0.5719820118897926,0.9624438641356834
14,0.4194298015472777,0.6859695791555829,1.1402619309397668,0.5726775956284152,0.5733727972140165,0.9633480943600113
15,0.40849715601161185,0.6902666939499352,1.2096446908847556,0.5650273224043716,0.5779175599332775,0.9611134845482248
16,0.40918257389385065,0.6938135188595593,1.1537252649878624,0.5740437158469945,0.5828668067111523,0.9637836128270908
17,0.40737748488374237,0.6952458904576768,1.1815229419761342,0.5713114754098361,0.5843407298681342,0.9625261913903073
18,0.38189179909017057,0.7066025509856081,1.1228168974269201,0.583879781420765,0.5943167550973962,0.9645623552057454
19,0.3843784803550912,0.7056476365868631,1.1238395210182488,0.5775956284153005,0.5906816271355,0.9649325146202491
20,0.3701251925347032,0.7125707659777641,1.1435207606206745,0.5800546448087431,0.592227764090928,0.9636294443071077
21,0.3650127512375327,0.7139349294045426,1.115337205030879,0.5797814207650274,0.5928885219005673,0.9651945183546583
22,0.3852892362537232,0.7081372348407339,1.1422250771416667,0.578688524590164,0.593592659425384,0.9636237677642525
23,0.3663733170685587,0.7126048700634336,1.1186559501322892,0.5846994535519126,0.6005176549745469,0.9648041831593241
24,0.3696711171344995,0.7175499624855057,1.117073446595685,0.5920765027322404,0.598344007353114,0.9641493013605839
25,0.36963214878577033,0.7169360889434554,1.090252153742346,0.590983606557377,0.6042069339764312,0.9653467448594247
26,0.36474197779741907,0.7137985130618648,1.0563326262466894,0.6040983606557377,0.6153187865657926,0.9657771725918154
27,0.36953094453646096,0.7177545869995225,1.0872040007609487,0.5959016393442623,0.6106074992436417,0.9657693634369232
28,0.3682241055871266,0.7174135461428279,1.1113731558429576,0.5868852459016394,0.6031555285751187,0.9650441334502649
29,0.3588624951475339,0.7183343564559034,1.1029404593621446,0.5912568306010929,0.6046946777930832,0.9650223506012098
30,0.3694231724415459,0.71727712980015,1.1069475554479438,0.5896174863387978,0.6061746343968292,0.9648330695117016
